No	x	y	z	Rx	Ry	Rz
217 1.23059 -8.20827 -6.55714 90 8.52632 0
218 1.77039 -8.10899 -6.55714 90 12.3158 0
219 2.30244 -7.97426 -6.55714 90 16.1053 0
220 2.82443 -7.80465 -6.55714 90 19.8947 0
221 3.33407 -7.60092 -6.55714 90 23.6842 0
222 3.82913 -7.36395 -6.55714 90 27.4737 0
223 4.30745 -7.09478 -6.55714 90 31.2632 0
224 4.76693 -6.79459 -6.55714 90 35.0526 0
225 5.20556 -6.46468 -6.55714 90 38.8421 0
226 5.62144 -6.10651 -6.55714 90 42.6316 0
227 6.01273 -5.72163 -6.55714 90 46.4211 0
228 6.37773 -5.31174 -6.55714 90 50.2105 0
229 6.71484 -4.87862 -6.55714 90 54 0
230 7.02259 -4.42416 -6.55714 90 57.7895 0
231 7.29963 -3.95036 -6.55714 90 61.5789 0
232 7.54475 -3.45929 -6.55714 90 65.3684 0
233 7.75689 -2.95309 -6.55714 90 69.1579 0
234 7.9351 -2.43398 -6.55714 90 72.9474 0
235 8.07861 -1.90422 -6.55714 90 76.7368 0
236 8.1868 -1.36614 -6.55714 90 80.5263 0
237 8.25919 -0.822078 -6.55714 90 84.3158 0
238 8.29546 -0.274426 -6.55714 90 88.1053 0
239 8.29546 0.274426 -6.55714 90 91.8947 0
240 8.25919 0.822078 -6.55714 90 95.6842 0
241 8.1868 1.36614 -6.55714 90 99.4737 0
242 8.07861 1.90422 -6.55714 90 103.263 0
243 7.9351 2.43398 -6.55714 90 107.053 0
244 7.75689 2.95309 -6.55714 90 110.842 0
245 7.54475 3.45929 -6.55714 90 114.632 0
246 7.29963 3.95036 -6.55714 90 118.421 0
247 7.02259 4.42416 -6.55714 90 122.211 0
248 6.71484 4.87862 -6.55714 90 126 0
249 6.37773 5.31174 -6.55714 90 129.789 0
250 6.01273 5.72163 -6.55714 90 133.579 0
251 5.62144 6.10651 -6.55714 90 137.368 0
252 5.20556 6.46468 -6.55714 90 141.158 0
253 4.76693 6.79459 -6.55714 90 144.947 0
254 4.30745 7.09478 -6.55714 90 148.737 0
255 3.82913 7.36395 -6.55714 90 152.526 0
256 3.33407 7.60092 -6.55714 90 156.316 0
257 2.82443 7.80465 -6.55714 90 160.105 0
258 2.30244 7.97426 -6.55714 90 163.895 0
259 1.77039 8.10899 -6.55714 90 167.684 0
260 1.23059 8.20827 -6.55714 90 171.474 0
261 0.685409 8.27165 -6.55714 90 175.263 0
262 0.137232 8.29887 -6.55714 90 179.053 0
263 -0.411545 8.28979 -6.55714 90 182.842 0
264 -0.958522 8.24447 -6.55714 90 186.632 0
265 -1.50131 8.16309 -6.55714 90 190.421 0
266 -2.03753 8.04602 -6.55714 90 194.211 0
267 -2.56484 7.89377 -6.55714 90 198 0
268 -3.08094 7.707 -6.55714 90 201.789 0
269 -3.58356 7.48653 -6.55714 90 205.579 0
270 -4.07052 7.23332 -6.55714 90 209.368 0
271 -4.53967 6.94848 -6.55714 90 213.158 0
272 -4.98897 6.63326 -6.55714 90 216.947 0
273 -5.41646 6.28903 -6.55714 90 220.737 0
274 -5.82027 5.91731 -6.55714 90 224.526 0
275 -6.19862 5.5197 -6.55714 90 228.316 0
276 -6.54987 5.09797 -6.55714 90 232.105 0
277 -6.87247 4.65393 -6.55714 90 235.895 0
278 -7.16503 4.18955 -6.55714 90 239.684 0
279 -7.42625 3.70685 -6.55714 90 243.474 0
280 -7.655 3.20794 -6.55714 90 247.263 0
281 -7.85028 2.69501 -6.55714 90 251.053 0
282 -8.01123 2.17028 -6.55714 90 254.842 0
283 -8.13715 1.63607 -6.55714 90 258.632 0
284 -8.22749 1.09471 -6.55714 90 262.421 0
285 -8.28185 0.548552 -6.55714 90 266.211 0
286 -8.3 -2.97953e-08 -6.01071 90 -90 0
287 -8.28185 -0.548552 -6.01071 90 -86.2105 0
288 -8.22749 -1.09471 -6.01071 90 -82.4211 0
289 -8.13715 -1.63607 -6.01071 90 -78.6316 0
290 -8.01123 -2.17028 -6.01071 90 -74.8421 0
291 -7.85028 -2.69501 -6.01071 90 -71.0526 0
292 -7.655 -3.20794 -6.01071 90 -67.2632 0
293 -7.42625 -3.70685 -6.01071 90 -63.4737 0
294 -7.16503 -4.18955 -6.01071 90 -59.6842 0
