No	x	y	z	Rx	Ry	Rz
71	-5.53333 2.21333 8.3 180 0 0
72	-5.53333 2.76667 8.3 180 0 0
73	-5.53333 3.32 8.3 180 0 0
74	-5.53333 3.87333 8.3 180 0 0
75	-5.53333 4.42667 8.3 180 0 0
76	-5.53333 4.98 8.3 180 0 0
77	-5.53333 5.53333 8.3 180 0 0
78	-4.98 -6.08667 8.3 180 0 0
79	-4.98 -5.53333 8.3 180 0 0
80	-4.98 -4.98 8.3 180 0 0
81	-4.98 -4.42667 8.3 180 0 0
82	-4.98 -3.87333 8.3 180 0 0
83	-4.98 -3.32 8.3 180 0 0
84	-4.98 -2.76667 8.3 180 0 0
85	-4.98 -2.21333 8.3 180 0 0
86	-4.98 -1.66 8.3 180 0 0
87	-4.98 -1.10667 8.3 180 0 0
88	-4.98 -0.553333 8.3 180 0 0
89	-4.98 0 8.3 180 0 0
90	-4.98 0.553333 8.3 180 0 0
91	-4.98 1.10667 8.3 180 0 0
92	-4.98 1.66 8.3 180 0 0
93	-4.98 2.21333 8.3 180 0 0
94	-4.98 2.76667 8.3 180 0 0
95	-4.98 3.32 8.3 180 0 0
96	-4.98 3.87333 8.3 180 0 0
97	-4.98 4.42667 8.3 180 0 0
98	-4.98 4.98 8.3 180 0 0
99	-4.98 5.53333 8.3 180 0 0
100	-4.98 6.08667 8.3 180 0 0
101	-4.42667 -6.64 8.3 180 0 0
102	-4.42667 -6.08667 8.3 180 0 0
103	-4.42667 -5.53333 8.3 180 0 0
104	-4.42667 -4.98 8.3 180 0 0
105	-4.42667 -4.42667 8.3 180 0 0
106	-4.42667 -3.87333 8.3 180 0 0
107	-4.42667 -3.32 8.3 180 0 0
108	-4.42667 -2.76667 8.3 180 0 0
109	-4.42667 -2.21333 8.3 180 0 0
110	-4.42667 -1.66 8.3 180 0 0
111	-4.42667 -1.10667 8.3 180 0 0
112	-4.42667 -0.553333 8.3 180 0 0
113	-4.42667 0 8.3 180 0 0
114	-4.42667 0.553333 8.3 180 0 0
115	-4.42667 1.10667 8.3 180 0 0
116	-4.42667 1.66 8.3 180 0 0
117	-4.42667 2.21333 8.3 180 0 0
118	-4.42667 2.76667 8.3 180 0 0
119	-4.42667 3.32 8.3 180 0 0
120	-4.42667 3.87333 8.3 180 0 0
121	-4.42667 4.42667 8.3 180 0 0
122	-4.42667 4.98 8.3 180 0 0
123	-4.42667 5.53333 8.3 180 0 0
124	-4.42667 6.08667 8.3 180 0 0
125	-4.42667 6.64 8.3 180 0 0
126	-3.87333 -6.64 8.3 180 0 0
127	-3.87333 -6.08667 8.3 180 0 0
128	-3.87333 -5.53333 8.3 180 0 0
129	-3.87333 -4.98 8.3 180 0 0
130	-3.87333 -4.42667 8.3 180 0 0
131	-3.87333 -3.87333 8.3 180 0 0
132	-3.87333 -3.32 8.3 180 0 0
133	-3.87333 -2.76667 8.3 180 0 0
134	-3.87333 -2.21333 8.3 180 0 0
135	-3.87333 -1.66 8.3 180 0 0
136	-3.87333 -1.10667 8.3 180 0 0
137	-3.87333 -0.553333 8.3 180 0 0
138	-3.87333 0 8.3 180 0 0
139	-3.87333 0.553333 8.3 180 0 0
140	-3.87333 1.10667 8.3 180 0 0
141	-3.87333 1.66 8.3 180 0 0
142	-3.87333 2.21333 8.3 180 0 0
143	-3.87333 2.76667 8.3 180 0 0
144	-3.87333 3.32 8.3 180 0 0
145	-3.87333 3.87333 8.3 180 0 0
146	-3.87333 4.42667 8.3 180 0 0
147	-3.87333 4.98 8.3 180 0 0
148	-3.87333 5.53333 8.3 180 0 0
149	-3.87333 6.08667 8.3 180 0 0
150	-3.87333 6.64 8.3 180 0 0
151	-3.32 -7.19333 8.3 180 0 0
152	-3.32 -6.64 8.3 180 0 0
153	-3.32 -6.08667 8.3 180 0 0
154	-3.32 -5.53333 8.3 180 0 0
155	-3.32 -4.98 8.3 180 0 0
156	-3.32 -4.42667 8.3 180 0 0
157	-3.32 -3.87333 8.3 180 0 0
158	-3.32 -3.32 8.3 180 0 0
159	-3.32 -2.76667 8.3 180 0 0
160	-3.32 -2.21333 8.3 180 0 0
161	-3.32 -1.66 8.3 180 0 0
162	-3.32 -1.10667 8.3 180 0 0
163	-3.32 -0.553333 8.3 180 0 0
164	-3.32 0 8.3 180 0 0
165	-3.32 0.553333 8.3 180 0 0
166	-3.32 1.10667 8.3 180 0 0
167	-3.32 1.66 8.3 180 0 0
168	-3.32 2.21333 8.3 180 0 0
169	-3.32 2.76667 8.3 180 0 0
170	-3.32 3.32 8.3 180 0 0
171	-3.32 3.87333 8.3 180 0 0
172	-3.32 4.42667 8.3 180 0 0
173	-3.32 4.98 8.3 180 0 0
174	-3.32 5.53333 8.3 180 0 0
175	-3.32 6.08667 8.3 180 0 0
176	-3.32 6.64 8.3 180 0 0
177	-3.32 7.19333 8.3 180 0 0
178	-2.76667 -7.19333 8.3 180 0 0
179	-2.76667 -6.64 8.3 180 0 0
180	-2.76667 -6.08667 8.3 180 0 0
181	-2.76667 -5.53333 8.3 180 0 0
182	-2.76667 -4.98 8.3 180 0 0
183	-2.76667 -4.42667 8.3 180 0 0
184	-2.76667 -3.87333 8.3 180 0 0
185	-2.76667 -3.32 8.3 180 0 0
